POC,Ftype,QP,PSNR-Y,PSNR-U,PSNR-V,Bits,EncT(ms)
265,(B),41,30.1877,41.8394,43.5171,512,40
266,(B),40,30.1784,41.8026,43.4584,2400,62
267,(B),41,29.8593,41.8266,43.4696,432,38
268,(B),38,30.5249,41.886,43.5476,6696,81
269,(B),41,30.2528,41.8113,43.5037,472,38
270,(B),40,30.5776,41.7488,43.5221,2056,58
271,(B),41,31.1739,41.7577,43.5646,736,37
272,(B),33,32.6444,41.8362,43.619,35424,153
273,(B),41,31.2104,41.87,43.6059,736,42
274,(B),40,30.5116,41.9465,43.5939,1920,73
275,(B),41,30.3406,41.9877,43.6041,640,43
276,(B),38,30.6639,41.8826,43.6298,6592,85
277,(B),41,30.2422,41.9681,43.6518,664,38
278,(B),40,30.5083,42.0324,43.5893,1944,58
279,(B),41,30.7273,42.0202,43.5649,528,37
280,(B),35,31.8942,42.0142,43.5812,18768,132
281,(B),41,31.1313,42.0959,43.6771,736,39
282,(B),40,30.5852,42.0404,43.6817,2032,59
283,(B),41,30.2755,41.9729,43.6911,544,39
284,(B),38,30.7433,41.9353,43.7299,6512,79
285,(B),41,30.2949,41.9486,43.6173,616,39
286,(B),40,30.384,41.9169,43.6049,2152,63
287,(B),41,31.1546,42.019,43.6068,848,38
288,(B),33,32.6713,41.9602,43.593,34760,154
289,(B),41,31.1271,42.045,43.6818,568,36
290,(B),40,30.8038,42.0498,43.6713,1960,63
291,(B),41,30.2313,41.9909,43.6828,648,39
292,(B),38,30.7637,41.9751,43.6482,6128,80
293,(B),41,30.2117,42.0879,43.5887,616,40
294,(B),40,30.4608,42.058,43.5907,2416,60
295,(B),41,30.7331,42.0845,43.5044,544,33
296,(B),35,31.8553,41.9892,43.4661,22024,130
297,(B),41,30.8234,41.8827,43.5334,584,57
298,(B),40,30.2112,41.8494,43.5137,3248,61
299,(B),41,29.3866,41.8474,43.4923,1616,43
