POC,Ftype,QP,PSNR-Y,PSNR-U,PSNR-V,Bits,EncT(ms)
51,B,41,33.2405,40.4523,40.3956,312,12
52,B,38,33.6348,40.498,40.4613,664,14
53,B,41,33.2618,40.4801,40.4185,256,9
54,B,40,33.0073,40.424,40.3458,504,12
55,B,41,33.0528,40.5426,40.3752,232,9
56,B,35,33.7683,40.3907,40.2094,2464,22
57,B,41,32.4006,40.3009,40.276,408,12
58,B,40,32.5395,40.1661,40.1851,832,14
59,B,41,32.2097,40.1664,40.1128,240,9
60,B,38,32.7532,40.0869,39.9789,1608,19
61,B,41,32.5487,40.3474,40.0905,240,8
62,B,40,33.1345,40.2811,39.9779,584,12
63,B,41,33.4946,40.2181,39.9676,280,9
64,B,33,34.6037,40.0165,39.828,6072,28
65,B,41,33.6177,40.2943,40.0178,272,9
66,B,40,32.8379,40.2943,39.8495,552,14
67,B,41,32.8263,40.3178,39.8747,208,8
68,B,38,32.9131,40.3519,39.8278,1032,17
69,B,41,32.4915,40.399,39.8774,216,8
70,B,40,32.6246,40.3735,39.8477,488,13
71,B,41,32.9106,40.3999,39.8997,272,9
72,B,35,33.6091,40.4051,39.9587,2616,23
73,B,41,32.9215,40.5622,40.088,360,14
74,B,40,32.7705,40.5534,40.0479,624,14
75,B,41,32.7082,40.7205,40.0371,272,10
76,B,38,33.1501,40.666,39.8811,1552,19
77,B,41,32.8494,40.5564,39.8307,360,11
78,B,40,32.8581,40.5829,39.9433,696,14
79,B,41,33.2011,40.7027,40.0194,328,10
80,B,33,34.2627,40.4651,39.8578,6248,29
81,B,41,33.1324,40.6004,40.1012,384,10
82,B,40,32.8782,40.7387,40.1154,776,16
83,B,41,32.7493,40.6889,40.2423,352,11
84,B,38,32.9439,40.5222,40.2201,1320,18
85,B,41,32.7309,40.5073,40.3571,344,10
86,B,40,33.1099,40.3601,40.1846,640,14
87,B,41,32.8939,40.3475,40.1885,328,9
88,B,35,33.4983,40.2457,40.0776,3048,25
89,B,41,33.1659,40.4395,40.3479,264,7
90,B,40,32.8156,40.5689,40.3873,392,12
91,B,41,32.7964,40.4357,40.3372,352,11
92,B,38,32.7372,40.5356,40.3487,840,15
93,B,41,32.6827,40.4768,40.3906,392,14
94,B,40,33.0144,40.5317,40.4774,632,13
95,B,41,33.6978,40.5434,40.3148,256,8
96,B,33,34.2411,40.4631,40.2196,5712,27
97,B,41,33.2542,40.5142,40.2641,256,7
98,B,40,33.7378,40.6498,40.3887,248,11
99,B,41,33.3627,40.7113,40.3961,248,8
100,B,38,33.279,40.6722,40.3618,480,14
101,B,41,32.8613,40.7041,40.3636,232,8
102,B,40,33.0527,40.6257,40.3076,288,11
103,B,41,33.4927,40.6307,40.3049,184,8
104,B,35,33.7517,40.5941,40.2223,1648,19
105,B,41,33.4981,40.6951,40.333,240,8
106,B,40,33.2917,40.6809,40.4218,344,13
107,B,41,33.4082,40.7181,40.4365,200,9
108,B,38,33.6306,40.7573,40.5187,560,15
109,B,41,33.6831,40.7508,40.4646,240,9
110,B,40,33.7733,40.7809,40.3899,312,12
111,B,41,33.2284,40.6556,40.3087,256,10
112,B,33,34.3377,40.6906,40.256,4848,26
113,B,41,33.5688,40.7606,40.3957,264,9
114,B,40,32.8632,40.7561,40.3152,408,13
115,B,41,32.7537,40.6969,40.1678,336,10
116,B,38,32.6582,40.6653,40.1125,1184,20
117,B,41,32.2866,40.7103,40.047,320,13
118,B,40,32.6989,40.6802,40.1544,648,15
119,B,41,32.7342,40.7458,40.1417,320,9
120,B,35,33.0744,40.6274,40.1067,2968,25
121,B,41,32.4565,40.5117,40.0233,448,11
122,B,40,32.2109,40.4911,39.7363,664,15
123,B,41,32.414,40.4054,39.834,384,12
124,B,38,32.6535,40.3714,39.6407,1352,19
125,B,41,32.3582,40.5465,39.9284,368,9
126,B,40,32.7415,40.5114,39.9118,544,14
127,B,41,33.5094,40.6006,39.8892,344,10
128,B,33,34.1809,40.6976,40.0908,6680,32
129,B,41,33.2021,40.6693,40.1701,264,10
130,B,40,33.0474,40.5897,40.1344,504,12
131,B,41,33.2422,40.6465,40.1505,200,7
132,B,38,33.2423,40.6739,40.0803,664,16
133,B,41,33.1962,40.6923,40.1071,184,9
134,B,40,33.0964,40.65,40.1419,288,11
135,B,41,32.4508,40.6274,40.1298,352,9
136,B,35,33.5879,40.6984,40.193,824,20
137,B,41,33.4819,40.6951,40.2472,256,9
138,B,40,33.3943,40.5694,40.1185,456,12
139,B,41,33.2507,40.6146,40.2649,208,10
140,B,38,33.3003,40.7183,40.3945,544,15
141,B,41,33.6238,40.7564,40.4802,200,8
142,B,40,33.6787,40.7607,40.4705,288,10
143,B,41,33.654,40.6845,40.3868,176,7
144,B,33,34.0627,40.596,40.3476,3400,24
145,B,41,33.3117,40.6683,40.3626,176,7
146,B,40,33.6693,40.6088,40.3168,232,10
147,B,41,33.5282,40.6954,40.4043,264,9
148,B,38,33.2966,40.6083,40.4733,320,12
149,B,41,33.2584,40.6442,40.4855,256,10
150,B,40,33.4351,40.6796,40.5018,232,10
151,B,41,33.4682,40.6394,40.3981,192,7
152,B,35,33.8985,40.6508,40.5708,648,14
153,B,41,33.6821,40.6,40.5045,176,7
154,B,40,33.2847,40.5626,40.4476,328,10
155,B,41,33.3878,40.6416,40.4902,176,7
156,B,38,33.8092,40.5714,40.5415,304,11
157,B,41,33.9089,40.5483,40.4732,192,7
158,B,40,33.8174,40.4605,40.6152,248,10
159,B,41,33.2422,40.3623,40.5952,272,8
160,B,33,34.1244,40.4125,40.5599,2072,21
161,B,41,33.6282,40.4535,40.6022,232,8
162,B,40,33.4273,40.4224,40.5948,312,11
163,B,41,33.1005,40.5667,40.576,248,8
164,B,38,33.4556,40.54,40.5653,512,13
165,B,41,32.8263,40.4014,40.6398,352,8
166,B,40,32.6385,40.3968,40.4608,480,12
167,B,41,32.6887,40.425,40.4801,400,9
168,B,35,33.3685,40.4221,40.422,1936,22
