POC,Ftype,QP,PSNR-Y,PSNR-U,PSNR-V,Bits,EncT(ms)
113,B,41,28.0788,33.476,37.3958,37304,531
114,B,40,27.9061,33.1108,37.3155,91312,819
115,B,41,27.407,32.9142,37.241,35992,548
116,B,38,28.7284,32.973,37.1564,251200,1177
117,B,41,27.438,32.8093,37.1235,35192,708
118,B,40,27.5772,32.8198,37.1004,97664,963
119,B,41,27.8175,33.2027,37.2413,31720,746
120,B,35,30.5818,33.7464,37.3186,504792,1554
121,B,41,27.5358,33.0696,37.0733,32696,613
122,B,40,27.5117,32.7723,37.0249,95032,882
123,B,41,27.1496,32.646,36.989,28120,585
124,B,38,28.4531,32.758,37.013,265360,1194
125,B,41,27.17,32.7697,37.1145,29656,595
126,B,40,27.486,32.9122,37.142,95576,1025
127,B,41,27.5018,33.248,37.1348,27752,500
128,B,33,31.7381,34.1991,37.3846,725456,1777
129,B,41,27.5712,33.3519,37.1767,24456,487
130,B,40,27.319,32.8298,37.0896,98616,880
131,B,41,26.9704,32.6167,37.0234,24928,537
132,B,38,28.3411,32.6707,37.0031,270184,1431
133,B,41,27.0853,32.5942,36.987,20336,668
134,B,40,27.1419,32.5393,36.9528,104616,979
135,B,41,27.4767,33.037,37.0943,22208,566
136,B,35,30.2828,33.5266,37.0789,548136,1863
137,B,41,27.3109,32.9525,36.9674,21808,775
138,B,40,27.1699,32.6507,36.9266,99120,908
139,B,41,26.9265,32.6369,37.0243,21912,547
140,B,38,28.2206,32.6493,36.9508,281032,1455
141,B,41,27.0583,32.7598,37.1267,15056,564
142,B,40,27.1408,32.9015,37.1334,95232,818
143,B,41,27.5137,33.3985,37.2102,14712,467
144,B,33,31.5643,34.0285,37.2579,768456,1939
145,B,41,27.5466,33.3832,37.2431,14320,427
146,B,40,27.1127,32.8367,37.1157,97048,791
147,B,41,26.9179,32.6859,37.0269,20320,446
148,B,38,28.1336,32.6705,36.9951,285128,1360
149,B,41,26.9833,32.6622,37.0227,15776,459
150,B,40,27.1244,32.7936,37.0806,90568,769
151,B,41,27.2433,33.0783,37.0945,11064,391
152,B,35,30.1156,33.4885,37.1012,563928,1657
153,B,41,27.4012,33.0505,37.1023,9792,373
154,B,40,26.9312,32.6772,37.0106,96888,802
155,B,41,26.866,32.6927,37.0897,13408,450
156,B,38,27.9879,32.7113,37.0434,290048,1200
157,B,41,26.8641,32.8287,37.1153,14656,456
158,B,40,26.9712,32.9447,37.2016,96704,772
159,B,41,27.3334,33.418,37.2696,13344,373
160,B,33,31.5564,34.1206,37.487,756296,1930
161,B,41,27.3694,33.4579,37.4112,7496,567
162,B,40,27.0354,33.0456,37.3317,85760,788
163,B,41,26.6528,32.7875,37.1325,10048,496
164,B,38,28.0252,32.825,37.0969,289352,1189
165,B,41,26.8042,32.7793,37.1801,10528,608
166,B,40,26.8625,32.8131,37.267,94336,876
167,B,41,27.2913,33.174,37.2732,10920,459
168,B,35,29.9585,33.4854,37.2958,586040,1582
169,B,41,27.1392,33.1955,37.3242,8072,347
170,B,40,26.8608,32.846,37.2697,91944,949
171,B,41,26.5845,32.7794,37.252,7296,348
172,B,38,27.9935,32.8587,37.2421,292936,1209
173,B,41,26.7478,32.8792,37.3706,8960,378
174,B,40,26.7905,33.0218,37.3963,96672,885
175,B,41,27.133,33.4988,37.455,9528,328
176,B,33,31.4172,34.171,37.5636,790920,1820
177,B,41,27.3803,33.5769,37.5152,7032,414
178,B,40,26.8567,33.095,37.4176,91048,905
179,B,41,26.6275,32.9272,37.3703,8248,346
180,B,38,27.8998,32.8625,37.3325,294096,1192
181,B,41,26.711,32.8681,37.328,5472,336
182,B,40,26.7987,32.9338,37.371,90864,840
183,B,41,27.099,33.2424,37.3752,6896,327
184,B,35,29.9018,33.5989,37.3932,587872,1595
185,B,41,27.1944,33.2645,37.4212,5784,315
186,B,40,26.6263,32.9414,37.3619,92760,764
187,B,41,26.4689,32.8661,37.3959,7088,358
188,B,38,27.7156,32.8853,37.4611,309416,1207
189,B,41,26.4446,32.9558,37.5063,7424,590
190,B,40,26.6255,33.1253,37.5878,99480,790
191,B,41,27.2871,33.6409,37.6723,4824,502
192,B,33,31.2499,34.1296,37.6909,812368,1994
193,B,41,27.4307,33.6454,37.6924,4368,404
194,B,40,26.7158,33.1593,37.5164,90336,1231
195,B,41,26.5911,32.9832,37.4682,6808,445
196,B,38,27.773,32.9054,37.3866,300088,1520
197,B,41,26.7511,32.8689,37.4194,4776,449
198,B,40,26.6794,32.933,37.3834,89128,1027
199,B,41,26.9496,33.2293,37.4311,3760,411
200,B,35,29.7779,33.6565,37.5437,601704,2052
201,B,41,27.0707,33.321,37.5212,3040,412
202,B,40,26.6216,32.9715,37.4901,87816,906
203,B,41,26.5309,32.914,37.4342,4184,444
204,B,38,27.6787,32.9595,37.4529,301304,1456
205,B,41,26.6428,33.0352,37.5304,5992,489
206,B,40,26.719,33.2451,37.6736,87832,921
207,B,41,26.9258,33.6377,37.7288,4824,390
208,B,33,31.1939,34.216,37.7493,820672,2232
209,B,41,27.2962,33.6982,37.689,2832,524
210,B,40,26.6361,33.2277,37.6152,87976,1125
211,B,41,26.5249,33.0578,37.6213,4072,562
212,B,38,27.6421,32.962,37.4989,303104,1394
213,B,41,26.518,33.002,37.5527,3016,562
214,B,40,26.5262,33.0217,37.4891,90832,1151
215,B,41,26.8546,33.3408,37.5739,4352,543
216,B,35,29.6994,33.6969,37.564,600032,1812
217,B,41,27.1569,33.3588,37.5909,3504,541
218,B,40,26.5882,33.0715,37.566,84584,1105
219,B,41,26.4096,32.9618,37.5215,4160,588
220,B,38,27.6358,33.0225,37.551,295040,1563
221,B,41,26.2899,33.0081,37.5586,3768,602
222,B,40,26.5897,33.2407,37.6689,90368,1159
223,B,41,27.2483,33.7118,37.7304,2480,518
224,B,33,31.131,34.2337,37.7546,839744,2034
225,B,41,27.3608,33.737,37.6823,2544,515
226,B,40,26.622,33.2103,37.6163,84504,1057
227,B,41,26.5352,33.0177,37.5289,3680,514
228,B,38,27.6377,32.9384,37.4349,300464,1536
229,B,41,26.5311,32.9572,37.466,3088,490
230,B,40,26.4855,32.9925,37.4659,91648,970
231,B,41,26.8235,33.3322,37.5243,3008,503
232,B,35,29.6823,33.7097,37.5749,613816,1927
233,B,41,27.2122,33.3994,37.5927,2376,509
234,B,40,26.5412,33.0223,37.5661,86752,1092
235,B,41,26.6246,32.932,37.546,2720,510
236,B,38,27.5607,32.9166,37.4457,306256,1528
237,B,41,26.7565,33.0701,37.6199,3128,495
238,B,40,26.5928,33.1915,37.6663,90512,1089
239,B,41,27.3404,33.7466,37.7248,2536,493
240,B,33,31.1678,34.2955,37.7734,831992,2255
241,B,41,27.5251,33.7753,37.7151,2552,413
242,B,40,26.6601,33.2346,37.6437,83352,918
243,B,41,26.5086,33.0375,37.5766,3560,410
244,B,38,27.7148,33.0107,37.4689,293640,1349
245,B,41,26.6692,32.9883,37.5209,2768,461
246,B,40,26.6079,33.006,37.5499,86592,916
247,B,41,27.2548,33.336,37.6531,2704,488
248,B,35,29.8311,33.73,37.7179,594872,1815
249,B,41,27.1563,33.3549,37.7303,2520,526
250,B,40,26.8148,33.0702,37.7292,73840,893
251,B,41,26.6514,32.9159,37.6789,3128,520
252,B,38,27.8338,32.9701,37.6864,290400,1323
253,B,41,26.8669,33.0077,37.7566,2752,441
254,B,40,26.7974,33.1888,37.8396,84744,889
255,B,41,27.5329,33.7455,37.9044,2816,387
256,B,33,31.3358,34.3511,37.9382,803576,2118
257,B,41,27.6943,33.7942,37.9612,2416,400
258,B,40,26.8282,33.2529,37.8854,79168,867
259,B,41,26.9668,33.0695,37.8155,2928,408
260,B,38,27.8977,32.8561,37.5642,290096,1439
261,B,41,26.7933,32.908,37.6457,2912,407
262,B,40,26.8426,32.9849,37.5728,82368,881
263,B,41,27.4304,33.384,37.5779,2112,403
264,B,35,29.9783,33.7802,37.6125,585688,1884
265,B,41,27.6467,33.4163,37.6224,2232,408
266,B,40,26.9284,33.0051,37.5782,77824,867
267,B,41,27.0173,32.9489,37.5537,2640,436
268,B,38,27.9385,32.9894,37.5791,284520,1431
